DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20200424,000000,187.9400000,187.9500000,185.1000000,185.7100000,36685880
20200427,000000,186.5300000,188.4700000,185.6900000,186.2900000,23536090
20200428,000000,185.9300000,190.6500000,185.7600000,188.5000000,44154560
20200429,000000,189.7800000,195.2300000,188.5300000,193.8700000,56201200
20200430,000000,195.4400000,196.2000000,189.6200000,190.0000000,72061970
20200504,000000,188.0000000,188.1700000,184.5200000,185.7000000,42833330
20200505,000000,188.3900000,190.3900000,187.3000000,190.0000000,39562120
20200506,000000,190.5300000,191.0500000,187.0500000,187.0500000,46377880
20200507,000000,187.5200000,190.3000000,185.5000000,185.8500000,67256130
20200508,000000,186.3400000,186.6400000,183.1000000,185.3400000,60934480
20200512,000000,184.8800000,187.2000000,183.2000000,186.1700000,49892900
20200513,000000,185.5500000,185.5500000,183.8000000,184.2000000,33177080
20200514,000000,183.2700000,184.8500000,181.6800000,183.9100000,49343510
20200515,000000,185.6200000,186.9800000,183.8500000,183.8500000,47863870
20200518,000000,185.4000000,192.5000000,185.1400000,192.5000000,60009590
20200519,000000,193.0000000,194.3900000,191.1000000,194.2000000,60258130
20200520,000000,193.5700000,197.2700000,192.7900000,196.7400000,73790890
20200521,000000,196.1000000,199.2600000,191.4000000,194.7400000,90059720
20200522,000000,194.0000000,195.7600000,192.2100000,194.3500000,42278710
20200525,000000,195.2100000,197.5500000,195.1100000,197.5500000,20030490
20200526,000000,198.8000000,202.3000000,196.3000000,196.8600000,65940550
20200527,000000,196.1000000,197.7500000,193.1500000,194.7300000,55228910
20200528,000000,194.4000000,196.9800000,194.1700000,196.8600000,39920270
20200529,000000,196.2500000,199.9500000,193.2000000,199.9500000,172617900
20200601,000000,200.2500000,202.4700000,197.1500000,198.7200000,54163710
20200602,000000,199.4800000,202.1900000,198.7200000,201.9700000,45255750
20200603,000000,203.1000000,208.1500000,202.0100000,208.0000000,65058830
20200604,000000,207.9900000,207.9900000,200.6000000,201.4600000,72176320
20200605,000000,202.5600000,204.8400000,201.5100000,203.0500000,44798190
20200608,000000,204.9500000,206.5000000,202.9700000,204.9100000,40076610
20200609,000000,205.4100000,206.1000000,201.5700000,204.8400000,35361030
20200610,000000,204.8800000,205.2700000,200.5300000,201.7500000,41510100
20200611,000000,200.1900000,200.1900000,195.1500000,196.7400000,48834830
20200615,000000,193.8500000,196.1500000,191.0000000,194.2000000,54158910
20200616,000000,196.0600000,199.5900000,195.2000000,196.5900000,43322650
20200617,000000,197.7200000,199.0800000,195.2100000,195.8600000,34389160
20200618,000000,195.4400000,195.5700000,191.8500000,193.0000000,45807200
20200619,000000,194.1700000,196.0700000,193.8200000,195.8100000,45158120
20200622,000000,195.3500000,195.3500000,192.6200000,194.3000000,36763320
20200623,000000,194.7800000,196.3200000,194.0000000,194.8300000,33800940
20200625,000000,191.8000000,192.4800000,190.5500000,192.2500000,48747730
20200626,000000,192.8000000,195.6900000,190.5100000,193.0000000,60289440
20200629,000000,192.6700000,198.1000000,192.5800000,197.9400000,45797120
20200630,000000,197.9000000,198.4800000,193.2400000,194.3100000,52228420
20200702,000000,195.3100000,195.8400000,194.4000000,195.2800000,34114100
20200703,000000,195.6500000,197.4800000,194.7700000,197.2000000,26423160
20200706,000000,199.2100000,201.7500000,198.5300000,199.9900000,46417970
20200707,000000,199.7000000,199.9400000,197.7500000,197.9600000,35182460
20200708,000000,198.0000000,201.1900000,197.5500000,201.1700000,30730070
20200709,000000,201.4800000,202.0000000,198.4000000,199.4400000,40355340
20200710,000000,198.2500000,201.7000000,197.2200000,200.9400000,39028520
20200713,000000,201.6000000,202.3300000,195.5000000,195.7000000,62999870
20200714,000000,195.0900000,196.6500000,192.4800000,193.6000000,83060710
20200715,000000,180.6000000,184.2700000,179.8000000,182.2600000,73463320
20200716,000000,181.2000000,183.8000000,181.0700000,183.3200000,29409000
20200717,000000,183.8000000,184.9300000,182.8700000,184.6500000,25471860
20200720,000000,184.6700000,188.4100000,183.8800000,188.3600000,30010590
20200721,000000,188.9900000,189.7700000,186.2500000,186.7800000,44388320
20200722,000000,187.0300000,188.5900000,186.0700000,187.1500000,22767680
20200723,000000,187.5000000,188.3000000,184.4000000,184.6900000,29769530
20200724,000000,184.8300000,186.4500000,184.1200000,185.4500000,30313190
